imdbid,title,production_company
2639344.0,Love Is Strange,Mm...Buttered Panini Productions
2639344.0,Love Is Strange,Charlie Guidance
1978532.0,Someone Marry Barry,Straight Up Films
1978532.0,Someone Marry Barry,Madrose Productions
3499048.0,Güeros,UNAM
3499048.0,Güeros,Catatonia Films
3499048.0,Güeros,Consejo Nacional para la cultura y las artes
903657.0,Love & Mercy,John Wells Productions
903657.0,Love & Mercy,River Road Entertainment
2515030.0,Escobar: Paradise Lost,uFilm
2515030.0,Escobar: Paradise Lost,Nexus Factory
2515030.0,Escobar: Paradise Lost,Jaguar Films
2515030.0,Escobar: Paradise Lost,Chapter 2
2515030.0,Escobar: Paradise Lost,Roxbury
2515030.0,Escobar: Paradise Lost,uMedia
3253930.0,Marshland,Sacromonte Films
3253930.0,Marshland,Atresmedia
3253930.0,Marshland,Atípica Films
2626350.0,Step Up All In,Summit Entertainment
2626350.0,Step Up All In,Offspring Entertainment
3344922.0,Hungry Hearts,Wildside
3344922.0,Hungry Hearts,RAI
3003800.0,Amour Fou,Coop 99 Filmproduktion
3003800.0,Amour Fou,Essential Filmproduktion
3003800.0,Amour Fou,Amour Fou Luxembourg
3139072.0,Son of Batman,DC Comics
3139072.0,Son of Batman,DC Entertainment
3139072.0,Son of Batman,Warner Bros. Animation
3139072.0,Son of Batman,Warner Premiere
3390572.0,Haider,Vishal Bhardwaj Pictures
3390572.0,Haider,UTV Motion Pictures
1929263.0,Heaven Is for Real,TriStar Pictures
1929263.0,Heaven Is for Real,Screen Gems
1929263.0,Heaven Is for Real,Roth Films
2758904.0,Search Party,Focus Features
2758904.0,Search Party,Gold Circle Films
2758904.0,Search Party,American Work
2758904.0,Search Party,Original Film
3717532.0,The Last: Naruto the Movie,Aniplex
1826590.0,About Last Night,Olive Bridge Entertainment
1826590.0,About Last Night,Rainforest Entertainment
1826590.0,About Last Night,Screen Gems
2377322.0,Deliver Us from Evil,LStar Capital
2377322.0,Deliver Us from Evil,Screen Gems
2377322.0,Deliver Us from Evil,Jerry Bruckheimer Films
1878942.0,Date and Switch,Dude Productions
1878942.0,Date and Switch,Lionsgate
2338151.0,PK,Rajkumar Hirani Films
2338151.0,PK,Vinod Chopra Films
2338151.0,PK,UTV Motion Pictures
2279373.0,The SpongeBob Movie: Sponge Out of Water,Paramount Animation
2279373.0,The SpongeBob Movie: Sponge Out of Water,Paramount
2279373.0,The SpongeBob Movie: Sponge Out of Water,Nickelodeon Movies
2279373.0,The SpongeBob Movie: Sponge Out of Water,Nickelodeon Animation Studio
2279373.0,The SpongeBob Movie: Sponge Out of Water,United Plankton Pictures
2279373.0,The SpongeBob Movie: Sponge Out of Water,Disruption Entertainment
1950135.0,Drunk Wedding,Weston Pictures
3472226.0,Kung Fury,Laser Unicorns
3472226.0,Kung Fury,Lampray
1674771.0,Entourage,Closest to the Hole Productions
1674771.0,Entourage,Warner Bros. Pictures
1014763.0,Child 44,Summit Entertainment
1014763.0,Child 44,Scott Free Productions
1014763.0,Child 44,Worldview Entertainment
478970.0,Ant-Man,Marvel Studios
1798684.0,Southpaw,Fuqua Films
1798684.0,Southpaw,Escape Artists
1798684.0,Southpaw,Riche-Ludwig Productions
1798684.0,Southpaw,Wanda Pictures
3715320.0,Irrational Man,Perdido Productions
3715320.0,Irrational Man,Sony Pictures
3715320.0,Irrational Man,Gravier Productions
3622592.0,Paper Towns,Fox 2000 Pictures
2334733.0,Madame Bovary,A Company Filmproduktionsgesellschaft
2334733.0,Madame Bovary,Aleph Motion Pictures
2334733.0,Madame Bovary,Aden Film
3487994.0,Bloodsucking Bastards,MTY Productions
3487994.0,Bloodsucking Bastards,Fortress Features
3862750.0,The Perfect Guy,Screen Gems
1051904.0,Goosebumps,Original Film
1051904.0,Goosebumps,Scholastic Entertainment
1051904.0,Goosebumps,Sony Pictures
1051904.0,Goosebumps,Columbia Pictures
1051904.0,Goosebumps,Village Roadshow Pictures
1051904.0,Goosebumps,Sony Pictures Animation
2479478.0,The Ridiculous 6,Happy Madison Productions
3430416.0,Schneider vs. Bax,Czar
3430416.0,Schneider vs. Bax,VARA
3430416.0,Schneider vs. Bax,Graniet Film
3076658.0,Creed,Metro-Goldwyn-Mayer
3076658.0,Creed,Warner Bros. Pictures
3076658.0,Creed,New Line Cinema
3076658.0,Creed,Chartoff-Winkler Productions
2978576.0,Bill,Punk Cinema
2978576.0,Bill,BBC Films
2978576.0,Bill,Cowboy Films
2401878.0,Anomalisa,Starburns Industries
2401878.0,Anomalisa,Harmonius Claptrap
2401878.0,Anomalisa,Snoot Entertainment
2401878.0,Anomalisa,HanWay Films
2401878.0,Anomalisa,Paramount Animation
2401878.0,Anomalisa,Paramount
2719848.0,Everest,Cross Creek Pictures
2719848.0,Everest,Working Title Films
2719848.0,Everest,Walden Media
2719848.0,Everest,RVK Studios
2719848.0,Everest,Universal Pictures
2719848.0,Everest,Free State Pictures
3577624.0,A Perfect Day,Mediapro
3577624.0,A Perfect Day,Reposado Producciones
3577624.0,A Perfect Day,TV3
3577624.0,A Perfect Day,Canal+ España
3577624.0,A Perfect Day,TVE
3726704.0,Experimenter,FJ Productions
3726704.0,Experimenter,BB Film Productions
3700804.0,Already Tomorrow in Hong Kong,Unbound Feet Productions
3700804.0,Already Tomorrow in Hong Kong,IXII Productions
2049543.0,Synchronicity,Soapbox Films
2049543.0,Synchronicity,Pop Films
2967224.0,Hot Pursuit,New Line Cinema
2967224.0,Hot Pursuit,Pacific Standard
2967224.0,Hot Pursuit,Metro-Goldwyn-Mayer
2967224.0,Hot Pursuit,Warner Bros. Pictures
2358925.0,Unfinished Business,Studio Babelsberg
2358925.0,Unfinished Business,Regency Enterprises
2358925.0,Unfinished Business,New Regency Pictures
2358925.0,Unfinished Business,Escape Artists
462335.0,High-Rise,HanWay Films
462335.0,High-Rise,SCOPE Pictures
462335.0,High-Rise,Recorded Picture Company
462335.0,High-Rise,Northern Ireland Screen
462335.0,High-Rise,StudioCanal
462335.0,High-Rise,Film4 Productions
462335.0,High-Rise,BFI Film Fund
1178665.0,A Walk in the Woods,Wildwood Enterprises
1178665.0,A Walk in the Woods,Route One Entertainment
3735246.0,Bajirao Mastani,Eros International
3735246.0,Bajirao Mastani,Bhansali Productions
3508840.0,The Assassin,Sil-Metropole Organisation
3508840.0,The Assassin,Media Asia Films
3508840.0,The Assassin,Central Motion Picture Corporation
3508840.0,The Assassin,Huace Film & TV
3508840.0,The Assassin,China Dream Film Culture Industry
3508840.0,The Assassin,SpotFilms
2304933.0,The 5th Wave,LStar Capital
2304933.0,The 5th Wave,Columbia Pictures
2304933.0,The 5th Wave,GK Films
2304933.0,The 5th Wave,Material Pictures
2975590.0,Batman v Superman: Dawn of Justice,Warner Bros. Pictures
2975590.0,Batman v Superman: Dawn of Justice,RatPac Entertainment
2975590.0,Batman v Superman: Dawn of Justice,DC Comics
2975590.0,Batman v Superman: Dawn of Justice,Atlas Entertainment
2975590.0,Batman v Superman: Dawn of Justice,Cruel & Unusual Films
2975590.0,Batman v Superman: Dawn of Justice,DC Entertainment
3040964.0,The Jungle Book,Walt Disney Pictures
3040964.0,The Jungle Book,Fairview Entertainment
3040964.0,The Jungle Book,Moving Picture Company
2404233.0,Gods of Egypt,Thunder Road
2404233.0,Gods of Egypt,Pyramania
2404233.0,Gods of Egypt,Summit Entertainment
2404233.0,Gods of Egypt,Mystery Clock Cinema
2404233.0,Gods of Egypt,TIK Films
2404233.0,Gods of Egypt,Lionsgate
2709768.0,The Secret Life of Pets,Universal Pictures
2709768.0,The Secret Life of Pets,Fuji Television Network
2709768.0,The Secret Life of Pets,Illumination Entertainment
2709768.0,The Secret Life of Pets,dentsu
4034354.0,Swiss Army Man,BlackBird
4034354.0,Swiss Army Man,Tadmor
4034354.0,Swiss Army Man,Astrakan Films AB
4034354.0,Swiss Army Man,Cold Iron Pictures
4034354.0,Swiss Army Man,Prettybird
4172430.0,13 Hours: The Secret Soldiers of Benghazi,Paramount
4172430.0,13 Hours: The Secret Soldiers of Benghazi,3 Arts Entertainment
4172430.0,13 Hours: The Secret Soldiers of Benghazi,Bay Films
4172430.0,13 Hours: The Secret Soldiers of Benghazi,Latina Pictures
4172430.0,13 Hours: The Secret Soldiers of Benghazi,Dune Films
1083452.0,Eddie the Eagle,Studio Babelsberg
1083452.0,Eddie the Eagle,Marv Films
1083452.0,Eddie the Eagle,Saville Productions
4258698.0,Southside with You,IM Global
4258698.0,Southside with You,Get Lifted Film Company
2093991.0,Elvis & Nixon,Autumn Productions
2093991.0,Elvis & Nixon,Benaroya Pictures
2093991.0,Elvis & Nixon,Prescience
2093991.0,Elvis & Nixon,Holly Wiersma Productions
2093991.0,Elvis & Nixon,Elevated Films
2093991.0,Elvis & Nixon,jellyfish Bloom
3451230.0,High Strung,Sforzando Productions
3451230.0,High Strung,Castel Film
3451230.0,High Strung,Riviera Films
2140479.0,The Accountant,Zero Gravity Management
2140479.0,The Accountant,Electric City Entertainment
2140479.0,The Accountant,RatPac Entertainment
2140479.0,The Accountant,Warner Bros. Pictures
1489889.0,Central Intelligence,Universal Pictures
1489889.0,Central Intelligence,New Line Cinema
1489889.0,Central Intelligence,Bluegrass Films
1489889.0,Central Intelligence,RatPac Entertainment
1489889.0,Central Intelligence,Perfect World Pictures
1489889.0,Central Intelligence,Artists First
1489889.0,Central Intelligence,Principato-Young Entertainment
1124037.0,Free State of Jones,Vendian Entertainment
1124037.0,Free State of Jones,Larger Than Life Productions
1124037.0,Free State of Jones,Route One Films
1124037.0,Free State of Jones,STX Entertainment
3608930.0,In a Valley of Violence,Blumhouse Productions
1860357.0,Deepwater Horizon,TIK Film
1860357.0,Deepwater Horizon,Summit Entertainment
1860357.0,Deepwater Horizon,Participant
1860357.0,Deepwater Horizon,Di Bonaventura Pictures
1860357.0,Deepwater Horizon,Closest to the Hole Productions
1860357.0,Deepwater Horizon,Leverage
3062096.0,Inferno,Columbia Pictures
3062096.0,Inferno,DNEG
3062096.0,Inferno,Imagine Entertainment
3062096.0,Inferno,LSG Productions
3062096.0,Inferno,LStar Capital
3062096.0,Inferno,Mid Atlantic Films
2091935.0,Mr. Right,Circle of Confusion
2091935.0,Mr. Right,3311 Productions
2091935.0,Mr. Right,Amasia Entertainment
3741834.0,Lion,The Weinstein Company
3741834.0,Lion,See-Saw Films
3741834.0,Lion,Screen Australia
3741834.0,Lion,Aquarius Films
3741834.0,Lion,Sunstar Entertainment
3717252.0,Underworld: Blood Wars,Lakeshore Entertainment
3717252.0,Underworld: Blood Wars,Screen Gems
3717252.0,Underworld: Blood Wars,Sketch Films
2315582.0,Una,Jean Doumanian Productions
2315582.0,Una,WestEnd Films
2315582.0,Una,Bron Studios
2315582.0,Una,Film4 Productions
2315582.0,Una,Creative Wealth Media Finance
1878841.0,The Darkness,Chapter One Films
1878841.0,The Darkness,Universal Pictures
1878841.0,The Darkness,Blumhouse Productions
1183374.0,Pet,Revolver Picture Company
1183374.0,Pet,Magic Lantern
3838992.0,Yoga Hosers,Invincible Pictures Corp.
3838992.0,Yoga Hosers,Abbolita Productions
3838992.0,Yoga Hosers,Destro Films
4746506.0,Sweet Dreams,Film Investment Piedmont (FIP)
4746506.0,Sweet Dreams,Film Commission Torino Piemonte
4746506.0,Sweet Dreams,Ad Vitam Production
4746506.0,Sweet Dreams,IBC MOvie
4746506.0,Sweet Dreams,Kavac Film
4746506.0,Sweet Dreams,MiBAC
4746506.0,Sweet Dreams,RAI
